,Team name,Team ID,FG%,FGA,Games,Win %,FT,FTA,FT%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DRPG,ST,STPG,Fouls,PFPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
0,A&M-Corpus Christi,1,43.8,1858,32,78.1,522,708,73.7,609,33.8,34.5,0,0,410,12.8,1128,35.3,1146,35.8,-0.6,23.81,303,9.5,682,21.3,2356,73.6,2212,69.1,4.5
1,Abilene Christian,2,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,
2,Air Force,3,42.7,1761,32,43.8,483,707,68.3,596,33.9,34.4,420,13.1,423,13.2,1109,34.7,1188,37.1,-2.5,25.75,196,6.1,617,19.3,2189,68.4,2330,72.8,-4.4
3,Akron,4,43.5,2041,34,76.5,443,639,69.3,1027,38.9,29.5,497,14.6,373,11,1267,37.3,1258,37,0.3,26.76,184,5.4,603,17.7,2619,77,2309,67.9,9.1
4,Alabama,5,42.7,1690,32,56.3,446,697,64,732,34.3,32.8,338,10.6,426,13.3,1109,34.7,1214,37.9,-3.3,24.88,180,5.6,618,19.3,2139,66.8,2170,67.8,-1
5,Alabama A&M,6,41.8,1633,29,37.9,439,642,68.4,600,29.2,32.6,367,12.7,341,11.8,1002,34.6,1020,35.2,-0.6,23.17,163,5.6,562,19.4,1978,68.2,2043,70.4,-2.2
6,Alabama St.,7,40.9,1929,31,45.2,426,623,68.4,650,33.1,33.9,376,12.1,371,12,1153,37.2,1172,37.8,-0.6,24.58,181,5.8,648,20.9,2217,71.5,2308,74.5,-2.9
7,Albany (NY),8,45.9,1770,32,75,601,803,74.8,561,32.1,30.2,399,12.5,404,12.6,1228,38.4,989,30.9,7.5,26.63,212,6.6,561,17.5,2405,75.2,2086,65.2,10
8,Alcorn,9,40.9,1690,30,50,458,676,67.8,565,31,36.4,272,9.1,429,14.3,1072,35.7,1038,34.6,1.1,22.93,134,4.5,548,18.3,2015,67.2,2164,72.1,-5
9,American,10,42.4,1487,31,38.7,328,471,69.6,572,34.1,31.1,nan,nan,428,13.8,874,28.2,992,32,-3.8,21.16,176,5.7,567,18.3,1785,57.6,2036,65.7,-8.1
10,Appalachian St.,11,40.1,1795,31,29,493,701,70.3,720,35.6,38.6,358,11.5,462,14.9,1140,36.8,1155,37.3,-0.5,24.1,127,4.1,667,21.5,2187,70.5,2398,77.4,-6.8
11,Arizona,12,48.2,1922,33,75.8,613,848,72.3,562,38.3,32.1,479,14.5,423,12.8,1328,40.2,1024,31,9.2,28.61,162,4.9,601,18.2,2680,81.2,2277,69,12.2
12,Arizona St.,13,41.5,1919,32,46.9,499,726,68.7,756,33.6,35.3,405,12.7,384,12,1177,36.8,1159,36.2,0.6,24.47,170,5.3,654,20.4,2345,73.3,2367,74,-0.7
13,Ark.-Pine Bluff,14,39.1,1722,33,24.2,317,519,61.1,666,30.3,32.3,317,9.6,516,15.6,1004,30.4,1248,37.8,-7.4,20.67,235,7.1,724,21.9,1867,56.6,2322,70.4,-13.8
14,Arkansas,15,44.3,1992,32,50,519,748,69.4,544,39.7,35.9,520,16.3,357,11.2,1186,37.1,1187,37.1,0,25.38,237,7.4,687,21.5,2501,78.2,2390,74.7,3.5
15,Arkansas St.,16,41.5,1855,31,35.5,562,766,73.4,570,31.6,35.2,381,12.3,398,12.8,1243,40.1,1257,40.5,-0.5,29.32,157,5.1,616,19.9,2282,73.6,2353,75.9,-2.3
16,Army West Point,17,,,32,59.4,450,647,69.6,844,33.6,34.7,489,15.3,436,13.6,1302,40.7,1189,37.2,3.5,28.31,160,5,610,19.1,2474,77.3,2395,74.8,2.5
17,Auburn,18,39.8,1819,31,35.5,472,747,63.2,799,34,34.8,352,11.4,428,13.8,1134,36.6,1269,40.9,-4.4,25.42,166,5.4,660,21.3,2192,70.7,2421,78.1,-7.4
18,Austin Peay,19,46.3,1988,35,51.4,602,899,67,630,34.8,35.9,473,13.5,490,14,1289,36.8,1195,34.1,2.7,25.2,242,6.9,610,17.4,2661,76,2656,75.9,0.1
19,Ball St.,20,44.7,1739,32,59.4,422,613,68.8,736,37.4,34.2,472,14.8,417,13,1147,35.8,1089,34,1.8,26.75,178,5.6,606,18.9,2251,70.3,2116,66.1,4.2
20,Baylor,21,46.7,1935,33,66.7,536,737,72.7,556,36.7,36.7,587,17.8,425,12.9,1234,37.4,972,29.5,7.9,23.67,260,7.9,636,19.3,2546,77.2,2285,69.2,7.9
21,Belmont,22,49.5,1793,31,64.5,454,630,72.1,894,36.2,34.6,532,17.2,438,14.1,1075,34.7,1107,35.7,-1,26.16,140,4.5,617,19.9,2554,82.4,2417,78,4.4
22,Bethune-Cookman,23,41.4,1932,32,43.8,411,597,68.8,787,31.6,33.9,372,11.6,415,13,1186,37.1,1258,39.3,-2.3,24.34,197,6.2,601,18.8,2258,70.6,2330,72.8,-2.3
23,Binghamton,24,39,1614,30,26.7,398,584,68.2,599,28.5,33.7,333,11.1,419,14,1021,34,1107,36.9,-2.9,24.93,161,5.4,558,18.6,1827,60.9,2059,68.6,-7.7
24,Boise St.,25,45.3,1859,32,62.5,535,755,70.9,788,33.1,35,430,13.4,372,11.6,1111,34.7,1050,32.8,1.9,24.88,209,6.5,622,19.4,2480,77.5,2246,70.2,7.3
25,Boston College,26,40.9,1751,32,21.9,294,452,65,713,32.4,38.2,nan,nan,431,13.5,997,31.2,1174,36.7,-5.5,23.56,181,5.7,579,18.1,1959,61.2,2256,70.5,-9.3
26,Boston U.,27,45.5,1788,32,56.3,464,649,71.5,694,36.3,32.8,434,13.6,436,13.6,1154,36.1,1118,34.9,1.1,26.91,183,5.7,611,19.1,2342,73.2,2315,72.3,0.8
27,Bowling Green,28,44.4,1913,34,47.1,499,760,65.7,563,36.1,37.3,398,11.7,430,12.6,1238,36.4,1207,35.5,0.9,26.26,209,6.1,655,19.3,2400,70.6,2457,72.3,-1.7
28,Bradley,29,37.9,1597,32,15.6,416,629,66.1,590,28,34.5,292,9.1,548,17.1,1082,33.8,1124,35.1,-1.3,25.19,143,4.5,744,23.3,1793,56,2238,69.9,-13.9
29,Brown,30,42.9,1625,28,28.6,421,600,70.2,639,35.2,35.6,414,14.8,376,13.4,1019,36.4,1092,39,-2.6,26.68,150,5.4,543,19.4,2040,72.9,2155,77,-4.1
30,Bryant,31,42,1798,31,25.8,310,482,64.3,615,32.2,33.1,415,13.4,420,13.5,1048,33.8,1217,39.3,-5.5,24.13,176,5.7,592,19.1,2018,65.1,2361,76.2,-11.1
31,Bucknell,32,46.6,1725,30,56.7,539,754,71.5,608,36.7,34.8,475,15.8,414,13.8,1101,36.7,1026,34.2,2.5,26.33,197,6.6,641,21.4,2368,78.9,2198,73.3,5.7
32,Buffalo,33,43.8,2037,34,58.8,600,845,71,750,33.7,33.9,0,0,465,13.7,1330,39.1,1229,36.1,3,26.85,236,6.9,723,21.3,2637,77.6,2555,75.1,2.4
33,Butler,34,46.6,1864,31,67.7,542,741,73.1,569,38.7,33.9,0,0,317,10.2,1129,36.4,1022,33,3.5,25,210,6.8,617,19.9,2498,80.6,2206,71.2,9.4
34,BYU,35,46.2,2118,33,69.7,506,735,68.8,774,38,33.2,545,16.5,383,11.6,1355,41.1,1190,36.1,5,29.03,219,6.6,624,18.9,2758,83.6,2382,72.2,11.4
35,Cal Poly,36,41.6,1813,30,33.3,423,626,67.6,681,34.9,38.9,425,14.2,308,10.3,1094,36.5,1104,36.8,-0.3,24.77,163,5.4,603,20.1,2171,72.4,2255,75.2,-2.8
36,Cal St. Fullerton,37,41,1702,30,33.3,515,743,69.3,582,33.2,35.2,304,10.1,393,13.1,1116,37.2,1096,36.5,0.7,26.03,148,4.9,611,20.4,2104,70.1,2227,74.2,-4.1
37,California,38,46.1,1881,33,69.7,512,780,65.6,632,36.9,35.1,428,13,403,12.2,1319,40,1097,33.2,6.7,28.64,136,4.1,682,20.7,2479,75.1,2212,67,8.1
38,Campbell,39,44.5,1671,30,40,495,690,71.7,675,33.2,36.8,345,11.5,353,11.8,967,32.2,1109,37,-4.7,24.17,214,7.1,581,19.4,2207,73.6,2203,73.4,0.1
39,Canisius,40,42,2014,33,42.4,551,744,74.1,836,34.1,38,466,14.1,370,11.2,1116,33.8,1228,37.2,-3.4,21.91,199,6,644,19.5,2526,76.5,2587,78.4,-1.8
40,Central Ark.,41,44.3,1657,28,25,457,694,65.9,498,37.1,38.7,370,13.2,407,14.5,1044,37.3,1028,36.7,0.6,25.46,152,5.4,575,20.5,2110,75.4,2344,83.7,-8.4
41,Central Conn. St.,42,40,1703,29,13.8,360,530,67.9,479,34.2,35.8,341,11.8,402,13.9,1050,36.2,1099,37.9,-1.7,24.66,127,4.4,505,17.4,1888,65.1,2268,78.2,-13.1
42,Central Mich.,43,44.2,1903,32,53.1,431,600,71.8,874,35.4,34.3,nan,nan,293,9.2,1119,35,1193,37.3,-2.3,25,152,4.8,594,18.6,2422,75.7,2325,72.7,3
43,Charleston So.,44,42.8,1808,30,30,318,512,62.1,810,34.6,36.8,379,12.6,378,12.6,1053,35.1,1101,36.7,-1.6,24.83,153,5.1,576,19.2,2146,71.5,2253,75.1,-3.6
44,Charlotte,45,44.5,2066,33,42.4,478,685,69.8,696,38.2,39.3,481,14.6,396,12,1196,36.2,1200,36.4,-0.1,24.91,204,6.2,588,17.8,2584,78.3,2631,79.7,-1.4
45,Chattanooga,46,45.6,1904,34,85.3,581,793,73.3,712,36.4,32.4,495,14.6,422,12.4,1218,35.8,1101,32.4,3.4,24.88,265,7.8,577,17,2578,75.8,2265,66.6,9.2
46,Chicago St.,47,38.3,1995,32,12.5,384,573,67,750,30.4,38.1,nan,nan,458,14.3,1172,36.6,1284,40.1,-3.5,23.69,246,7.7,697,21.8,2140,66.9,2478,77.4,-10.6
47,Cincinnati,48,42.8,1925,32,68.8,454,645,70.4,701,34.5,35.6,495,15.5,354,11.1,1260,39.4,1107,34.6,4.8,25.88,254,7.9,500,15.6,2342,73.2,2012,62.9,10.3
48,Clemson,49,43.7,1725,31,54.8,415,574,72.3,677,35.2,34.9,411,13.3,315,10.2,1072,34.6,1062,34.3,0.3,24.26,179,5.8,512,16.5,2159,69.6,1999,64.5,5.2
